"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
"
North America
","13,485,182","+86,073","377,655",+629,"8,496,308","+36,836","4,611,219","24,665"
"
Asia
","15,161,091","+80,031","267,706","+1,452","13,537,281","+73,246","1,356,104","24,785"
"
South America
","10,359,430","+1,428","310,055",+52,"9,340,446","+1,676","708,929","17,453"
"
Europe
","14,148,227","+192,015","325,915","+3,208","5,253,183","+84,759","8,569,129","29,712"
"
Africa
","1,995,995","+8,263","47,698",+260,"1,678,793","+10,738","269,504","2,580"
"
Oceania
","42,143",+22,994,,"32,911",+8,"8,238",26
"

",721,,15,,659,,47,4
World,"55,192,789","+367,832","1,330,038","+5,601","38,339,581","+207,263","15,523,170","99,225"
USA,"11,447,718","+78,591","252,210 ",+298,"6,965,948","+28,626","4,229,560","20,703"
India,"8,873,994","+28,377","130,552 ",+443,"8,287,930","+39,980","455,512","8,944"
Brazil,"5,863,093",,"165,811 ",,"5,291,511",,"405,771","8,318"
France,"1,991,233","+9,406","45,054 ",+506,"140,880","+1,070","1,805,299","4,896"
Russia,"1,948,603","+22,778","33,489 ",+303,"1,453,849","+13,864","461,265","2,300"
Spain,"1,521,899","+12,758","41,253 ",+162,N/A,N/A,N/A,"3,156"
UK,"1,390,681","+21,363","52,147 ",+213,N/A,N/A,N/A,"1,355"
Argentina,"1,310,491",,"35,436 ",,"1,129,102",,"145,953","4,365"
Italy,"1,205,881","+27,354","45,733 ",+504,"442,364","+21,554","717,784","3,492"
Colombia,"1,198,746",,"34,031 ",,"1,104,956",,"59,759","2,376"
Mexico,"1,006,522","+3,269","98,542 ",+283,"750,190","+4,829","157,790","2,941"
Peru,"937,011",,"35,231  ",,"863,120",,"38,660",997
Germany,"814,666","+11,722","12,842 ",+150,"515,200","+12,800","286,624","3,385"
Iran,"775,121","+13,053","41,979 ",+486,"564,699","+5,881","168,443","5,677"
South Africa,"752,269","+1,245","20,314 ",+73,"695,496","+2,029","36,459",546
Poland,"733,788","+20,816","10,491 ",+143,"306,022","+11,239","417,275","2,103"
Ukraine,"545,689","+9,832","9,697 ",+94,"244,197","+2,753","291,795",177
Belgium,"535,939","+4,659","14,421 ",+118,"32,909",+203,"488,609","1,439"
Chile,"532,604","+1,331","14,863 ",+44,"508,067","+1,367","9,674",724
Iraq,"521,542","+2,390","11,712 ",+42,"449,565","+2,526","60,265",364
Indonesia,"470,648","+3,535","15,296 ",+85,"395,443","+3,452","59,909",
Czechia,"462,121","+2,005","6,370 ",+162,"328,019",+713,"127,732","1,110"
Netherlands,"452,701","+4,830","8,530 ",+44,N/A,N/A,N/A,599
Bangladesh,"434,472","+2,139","6,215 ",+21,"351,146","+1,604","77,111",
Turkey,"417,594","+3,316","11,601 ",+94,"356,375","+2,712","49,618","3,610"
Philippines,"409,574","+1,738","7,839 ",+7,"374,366",+45,"27,369","1,455"
Romania,"365,212","+4,931","9,075 ",+149,"246,633","+2,801","109,504","1,187"
Pakistan,"359,032","+2,128","7,160 ",+19,"323,824",+599,"28,048","1,379"
Saudi Arabia,"353,556",+301,"5,676 ",+19,"340,668",+364,"7,212",823
Israel,"324,644",+903,"2,734 ",+2,"314,039",+659,"7,871",320
Canada,"298,782","+2,705","10,988 ",+35,"237,543","+2,142","50,251",334
Morocco,"296,189","+3,012","4,850 ",+71,"243,359","+4,761","47,980","1,048"
Switzerland,"269,974","+12,839","3,529 ",+160,"141,000",,"125,445",488
